division,district,upazila,union,A2IReference,facilityNameBengali,facilityNameEnglish,facilityTypeBengali,facilityTypeEnglish,email,phone,type
Dhaka,Gazipur,Gazipur Sadar,,division=3&district=20&upazila=163,শহীদ তাজউদ্দিন আহমেদ মেডিকেল কলেজ হাসপাতাল,Shaheed Taj Uddin Ahmad Medical College,মেডিকেল কলেজ,HEALTH_FACILITY,ggazipurmc@ac.dghs.gov.bd,01711220636
Dhaka,Narsingdi,Narsingdi,Panchdona,division=3&district=29&upazila=229,ভাতপারা সিসি - নরসিংদী সদর,Bhatpara Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006880@cc.dghs.gov.bd,01914536450
Dhaka,Narsingdi,Narsingdi,Panchdona,division=3&district=29&upazila=229,কাকশিয়া - নরসিংদী সদর,Kakshiya Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006881@cc.dghs.gov.bd,01861349096
Dhaka,Narsingdi,Narsingdi,Silmandi,division=3&district=29&upazila=229,শেখেরচর সিসি - নরসিংদী সদর,Shekherchar Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006882@cc.dghs.gov.bd,01717358766
Dhaka,Narsingdi,Narsingdi,Silmandi,division=3&district=29&upazila=229,শিলামান্দি সিসি - নরসিংদী সদর,Shilmandi Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006883@cc.dghs.gov.bd,01940563431
Dhaka,Narsingdi,Narsingdi,Amdia,division=3&district=29&upazila=229,আলোকবালি ইউনিয়ন সেন্টার,Alokbali Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015520@union.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,চরদিঘলদি ইউনিয়ন সেন্টার,Chardighaldi Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015521@union.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,চিনিসপুর ইউনিয়ন সেন্টার,Chinishpur Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015522@union.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,নজরপুর ইউনিয়ন সেন্টার,Nazarpur Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015523@union.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,নুরালপুর ইউনিয়ন সেন্টার,Nuralpur Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015524@union.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,Paikar Char,division=3&district=29&upazila=229,পাইকারচর ইউনিয়ন সেন্টার,Paikar Char Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015525@union.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,Meher Para,division=3&district=29&upazila=229,শিলামান্দি ইউনিয়ন সেন্টার,Silmandi Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015526@union.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,Alokbali,division=3&district=29&upazila=229,কাযিরকান্দি সিসি - নরসিংদী সদর,Kazir Kandi Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018891@cc.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,ব্র্যাক (বিএইচপি) - নরসিংদী সদর,BRAC (BHP) ,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01721495481
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,বাংলাদেশ রেড ক্রিসেন্ট সোসাইটি - নরসিংদী সদর,Bangladesh Red Crescent Society,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01718064921
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,মেরি স্টোপস সিসি - নরসিংদী সদর,Marie Stops,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711620086
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,বাংলাদেশ এসোসিয়েশন ফর অফ প্রেভেনশন সেপটিক এবোরশন,Bangladesh Association for Prevention of Septic Abortion,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711710063
Dhaka,Narsingdi,Narsingdi,Chinishpur,division=3&district=29&upazila=229,ব্র্যাক (বিএইচপি)- নরসিংদী সদর,BRAC (BHP),এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711979394
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,ওয়েলকাম হসপিটাল - নরসিংদী সদর,Welcome Hospital Pvt.,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01717201621
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,মডার্ন ক্লিনিক - নরসিংদী সদর,Narsingdi Modern Clinic,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711811535
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,প্রাইম জেনারেল হসপিটাল - নরসিংদী সদর,Prime General Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01716626769
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,নরসিংদী জেনারেল হসপিটাল - নরসিংদী সদর,Narsingdhi General Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711320536
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,মুক্তি জেনারেল হসপিটাল - নরসিংদী সদর,Mukti General Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01712581171
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,ন্যাশনাল জেনারেল চাইল্ড হসপিটাল - নরসিংদী সদর,National General Child Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01714688017
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,ইবিএ প্রাইভেট হসপিটাল - নরসিংদী সদর,EBA Private Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711816903
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,হলি লাইফ জেনারেল হসপিটাল - নরসিংদী সদর,Holy Life General Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01812247800
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,সুফিয়া পিভিটি. হসপিটাল - নরসিংদী সদর,Sufia Pvt. Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711681816
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,মাধোভি জেনারেল হসপিটাল - নরসিংদী সদর,Madhavi General Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01722163479
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,পলি ক্লিনিক এন্ড আই কেয়ার সেন্টার - নরসিংদী সদর,Poli Clinic and Eye Care Center,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711445138
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,আলফালাহা পিপলস প্রাইভেট হসপিটাল - নরসিংদী সদর,Alfalaha Pipals Prikate Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01712272942
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,এপোলো হসপিটাল - নরসিংদী সদর,Apollo Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711574245
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,পিপলস প্রাইভেট হসপিটাল - নরসিংদী সদর,People's Pvt. Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01191312445
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,মিতা নার্সিং হোম - নরসিংদী সদর,Mita Nursing Home,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711634265
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,হলি ক্রিসেন্ট হসপিটাল - নরসিংদী সদর,Holly Cricent Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01716270730
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,ফেইথ জেনারেল হসপিটাল - নরসিংদী সদর,Faith General Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01712104546
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,প্রাইম জেনারেল হসপিটাল - নরসিংদী সদর,Prime General Hospital,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711586350
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,মাদার অ্যান্ড চাইল্ড ওয়েলফেয়ার সেন্টার (এমসিডব্লিওসি) নরসিংদী সদর,Mother & Child Welfare Centre (MCWC) Narsingdi Sadar,মা ও শিশু কল্যান কেন্দ্র,HEALTH_FACILITY,,
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,ঢাকা প্রগ্রেসসিভ লায়ন্স আই হসপিটাল - নরসিংদী সদর,Dhaka Progressive Lions Eye Hospital,বিশেষায়িত হাসপাতাল,HEALTH_FACILITY,dplehnbd101@gmail.com,01742248555
Dhaka,Narsingdi,Narsingdi,Silmandi,division=3&district=29&upazila=229,বাঘহাটা টেক পাড়া সিসি - নরসিংদী সদর,Baghhata take para CC - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10023625@cc.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,Mahishasura,division=3&district=29&upazila=229,ডঃ নুরুজামান খোকন সিসি - নরসিংদী সদর,Dr. Nuruzzaman Khokon CC - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10024892@cc.dghs.gov.bd,01731904481
Rangpur,Kurigram,Kurigram Sadar,Urban Ward No-02,division=6&district=55&upazila=417,কুড়িগ্রাম (সদর) উপজেলা হেল্‌থ অফিস,Kurigram (Sadar) Upazila Health office,উপজেলা পর্যায়ের অফিস,HEALTH_FACILITY,kurigramsadar@uhfpo.dghs.gov.bd,01710868407
Rangpur,Kurigram,Kurigram Sadar,Punchgachhi,division=6&district=55&upazila=417,পাঁচগাছি (এউএইচএন্ডএফডবলিওসি),Pangachi Uh&fwc,ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,HEALTH_FACILITY,pangachi@uhfwc.dghs.gov.bd,
Rangpur,Kurigram,Kurigram Sadar,Urban Ward No-05,division=6&district=55&upazila=417,কুড়িগ্রাম সিভিল সার্জন অফিস,Kurigram Civil Surgeon Office,জেলা পর্যায়ের অফিস,HEALTH_FACILITY,kurigram@cs.dghs.gov.bd,01711109078
Rangpur,Kurigram,Kurigram Sadar,,division=6&district=55&upazila=417,কুড়িগ্রাম জেলা হসপিটাল,Kurigram District Hospital,জেলা হাসপাতাল,HEALTH_FACILITY,kurigram@hospi.dghs.gov.bd,01713200322
Rangpur,Kurigram,Kurigram Sadar,,division=6&district=55&upazila=417,কুড়িগ্রাম চেস্ট ডিসিস ক্লিনিক,Kurigram Chest Disease Clinic,বক্ষব্যাধি ক্লিনিক,HEALTH_FACILITY,kurigram@tc.dghs.gov.bd,01718658967
Rangpur,Kurigram,Kurigram Sadar,Belgachha,division=6&district=55&upazila=417,চিলাপাড়া সিসি- কুড়িগ্রাম সদর,Chilapara Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011516@cc.dghs.gov.bd,01925861050
Rangpur,Kurigram,Kurigram Sadar,Belgachha,division=6&district=55&upazila=417,পলাশবাড়ী সিসি- কুড়িগ্রাম সদর,Palashbari Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011517@cc.dghs.gov.bd,01718519393
Rangpur,Kurigram,Kurigram Sadar,Bhogdanga,division=6&district=55&upazila=417,বাসুরভিটা সিসি- কুড়িগ্রাম সদর,Basurvita Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011518@cc.dghs.gov.bd,01737130809
Rangpur,Kurigram,Kurigram Sadar,Bhogdanga,division=6&district=55&upazila=417,মাধবরাম সিসি- কুড়িগ্রাম সদর,Madhabram Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011519@cc.dghs.gov.bd, 1712933300
Rangpur,Kurigram,Kurigram Sadar,Bhogdanga,division=6&district=55&upazila=417,উত্তর কুমারপুর সিসি- কুড়িগ্রাম সদর,Uttor Kumarpur Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011520@cc.dghs.gov.bd,01764455159
Rangpur,Kurigram,Kurigram Sadar,Bhogdanga,division=6&district=55&upazila=417,পারামালি সিসি- কুড়িগ্রাম সদর,Paramali Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011521@cc.dghs.gov.bd,01723797946
Rangpur,Kurigram,Kurigram Sadar,Ghogadaha,division=6&district=55&upazila=417,কাছিছার সিসি- কুড়িগ্রাম সদর,Kachichar Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011522@cc.dghs.gov.bd,01714655451
Rangpur,Kurigram,Kurigram Sadar,Ghogadaha,division=6&district=55&upazila=417,লাকশির খামার সিসি- কুড়িগ্রাম সদর,Lakshir Khamar Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011523@cc.dghs.gov.bd,01723340477
Rangpur,Kurigram,Kurigram Sadar,Ghogadaha,division=6&district=55&upazila=417,রাসুলপুর সিসি- কুড়িগ্রাম সদর,Rasulpur Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011524@cc.dghs.gov.bd,01714655451
Rangpur,Kurigram,Kurigram Sadar,Holokhana,division=6&district=55&upazila=417,লাকশিখান্ত সিসি- কুড়িগ্রাম সদর,Lakshikanto Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011525@cc.dghs.gov.bd,01723588725
Rangpur,Kurigram,Kurigram Sadar,Holokhana,division=6&district=55&upazila=417,হলোখানা সিসি- কুড়িগ্রাম সদর,Halokhana Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011526@cc.dghs.gov.bd,01746445629
Rangpur,Kurigram,Kurigram Sadar,Holokhana,division=6&district=55&upazila=417,ভেরভেরী সিসি- কুড়িগ্রাম সদর,Ververi Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011527@cc.dghs.gov.bd,01716310428
Rangpur,Kurigram,Kurigram Sadar,Jatrapur,division=6&district=55&upazila=417,ঘনেশ্যামপুর সিসি- কুড়িগ্রাম সদর,Ghaneshyampur Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011528@cc.dghs.gov.bd,017214654
Rangpur,Kurigram,Kurigram Sadar,Kanthalbari,division=6&district=55&upazila=417,আধগ্রাম সিসি- কুড়িগ্রাম সদর,Adhgram Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011529@cc.dghs.gov.bd,01712725205
Rangpur,Kurigram,Kurigram Sadar,Kanthalbari,division=6&district=55&upazila=417,জোতগোবরধন সিসি- কুড়িগ্রাম সদর,Jotgobardhan Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011530@cc.dghs.gov.bd,01722373526
Rangpur,Kurigram,Kurigram Sadar,Kanthalbari,division=6&district=55&upazila=417,খালিসা কালোয়া সিসি- কুড়িগ্রাম সদর,Khalisa Kalowa Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011531@cc.dghs.gov.bd,02147483647
Rangpur,Kurigram,Kurigram Sadar,Mogalbachha,division=6&district=55&upazila=417,উত্তর সিতাইঝার সিসি- কুড়িগ্রাম সদর,Uttor Sitaijhar Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011532@cc.dghs.gov.bd,01721764827
Rangpur,Kurigram,Kurigram Sadar,Mogalbachha,division=6&district=55&upazila=417,দক্ষিন সিতাইঝার সিসি- কুড়িগ্রাম সদর,Dakhin Sitaijhar Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011533@cc.dghs.gov.bd,01714558275
Rangpur,Kurigram,Kurigram Sadar,Punchgachhi,division=6&district=55&upazila=417,গোবিন্দাপুর সিসি- কুড়িগ্রাম সদর,Gobindapur Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011534@cc.dghs.gov.bd,01717624150
Rangpur,Kurigram,Kurigram Sadar,Punchgachhi,division=6&district=55&upazila=417,শুলকুর বাজার সিসি- কুড়িগ্রাম সদর,Shulkur Bazar Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011535@cc.dghs.gov.bd,01923004451
Rangpur,Kurigram,Kurigram Sadar,Punchgachhi,division=6&district=55&upazila=417,সিতাইঝার সিসি- কুড়িগ্রাম সদর,Sitaijhar Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10011536@cc.dghs.gov.bd,01728655858
Rangpur,Kurigram,Kurigram Sadar,Holokhana,division=6&district=55&upazila=417,হলোখানা সিসি- কুড়িগ্রাম সদর,Holokhana Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10016726@union.dghs.gov.bd,
Rangpur,Kurigram,Kurigram Sadar,Jatrapur,division=6&district=55&upazila=417,জাত্তারাপুর সিসি- কুড়িগ্রাম সদর,Jattarapur Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10016727@union.dghs.gov.bd,
Rangpur,Kurigram,Kurigram Sadar,Kanthalbari,division=6&district=55&upazila=417,খাতালবাড়ী সিসি- কুড়িগ্রাম সদর,Khatalbari Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10016728@union.dghs.gov.bd,
Rangpur,Kurigram,Kurigram Sadar,Mogalbachha,division=6&district=55&upazila=417,মঘুলবাসা সিসি- কুড়িগ্রাম সদর,Mogulbasha Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10016729@union.dghs.gov.bd,
Rangpur,Kurigram,Kurigram Sadar,Bhogdanga,division=6&district=55&upazila=417,ভগদাঙ্গা সিসি- কুড়িগ্রাম সদর,Vogdanga Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10016730@union.dghs.gov.bd,
Rangpur,Kurigram,Kurigram Sadar,Bhogdanga,division=6&district=55&upazila=417,চর বরাইবাড়ী সিসি- কুড়িগ্রাম সদর,Char Boraibari Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018007@cc.dghs.gov.bd,01764884557
Rangpur,Kurigram,Kurigram Sadar,Kanthalbari,division=6&district=55&upazila=417,খালিশা যালফারা সিসি- কুড়িগ্রাম সদর,Khalisha Zalfara Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018139@cc.dghs.gov.bd,01718971370
Rangpur,Kurigram,Kurigram Sadar,Mogalbachha,division=6&district=55&upazila=417,ভেলাকোপা সিসি- কুড়িগ্রাম সদর,Velakopa CC,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018140@cc.dghs.gov.bd,01718971370
Rangpur,Kurigram,Kurigram Sadar,Bhogdanga,division=6&district=55&upazila=417,কাছিচর তেলিপারা)সিসি- কুড়িগ্রাম সদর,Kachichar(telipara) Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018142@cc.dghs.gov.bd,01718971370
Rangpur,Kurigram,Kurigram Sadar,Ghogadaha,division=6&district=55&upazila=417,মরাতরি সিসি- কুড়িগ্রাম সদর,Moratari Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018150@cc.dghs.gov.bd,01718971370
Rangpur,Kurigram,Kurigram Sadar,Holokhana,division=6&district=55&upazila=417,হিমেরকুটি সিসি- কুড়িগ্রাম সদর,Himerkuti Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018152@cc.dghs.gov.bd,01718971370
Rangpur,Kurigram,Kurigram Sadar,Jatrapur,division=6&district=55&upazila=417,পিপুলবাড়ী সিসি- কুড়িগ্রাম সদর,Pipul Bari CC,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018153@cc.dghs.gov.bd,01713728843
Rangpur,Kurigram,Kurigram Sadar,Bhogdanga,division=6&district=55&upazila=417,মধ্য কুমরপুর সিসি- কুড়িগ্রাম সদর,Madhya Kumorpur Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018154@cc.dghs.gov.bd,01718971370
Rangpur,Kurigram,Kurigram Sadar,Punchgachhi,division=6&district=55&upazila=417,কদমতলা সিসি- কুড়িগ্রাম সদর,Kadomtola Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018155@cc.dghs.gov.bd,01718971370
Rangpur,Kurigram,Kurigram Sadar,Mogalbachha,division=6&district=55&upazila=417,চর কিষ্ণপুর সিসি- কুড়িগ্রাম সদর,Char Kisnopur Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018227@cc.dghs.gov.bd,01718971370
Rangpur,Kurigram,Kurigram Sadar,Belgachha,division=6&district=55&upazila=417,পুর্ব কল্যাণ সিসি- কুড়িগ্রাম সদর,Purbo Kollan Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018375@cc.dghs.gov.bd,01718971370
Rangpur,Kurigram,Kurigram Sadar,Jatrapur,division=6&district=55&upazila=417,পার্বতীপুর সিসি- কুড়িগ্রাম সদর,Parbotipur Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10019040@cc.dghs.gov.bd,01718971370
Rangpur,Kurigram,Kurigram Sadar,Jatrapur,division=6&district=55&upazila=417,তেরে দেস হোমস ফাউন্ডেশন - কুড়িগ্রাম সদর,Terre Des Hommes Foundation,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01734022316
Rangpur,Kurigram,Kurigram Sadar,Kanthalbari,division=6&district=55&upazila=417,আরডিআরএস বাংলাদেশ -কুড়িগ্রাম সদর,RDRS Bangladesh,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01712315867
Rangpur,Kurigram,Kurigram Sadar,Belgachha,division=6&district=55&upazila=417,ব্র্যাক (বিএইচপি) - কুড়িগ্রাম সদর,BRAC (BHP) ,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01721417574
Rangpur,Kurigram,Kurigram Sadar,,division=6&district=55&upazila=417,পারিবাইক স্বাস্থ্য ক্লিনিক - কুড়িগ্রাম সদর,Paribaik Shastho Clinic,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01718319215
Rangpur,Kurigram,Kurigram Sadar,,division=6&district=55&upazila=417,আরডিআরএস বাংলাদেশ - কুড়িগ্রাম সদর – ২,RDRS Bangladesh,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01725344597
Rangpur,Kurigram,Kurigram Sadar,,division=6&district=55&upazila=417,ছিন্ন মুকুল - কুড়িগ্রাম সদর,Chinno Mukul,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01718312951
Rangpur,Kurigram,Kurigram Sadar,Jatrapur,division=6&district=55&upazila=417,তেরে দেস হোমস ফাউন্ডেশন - কুড়িগ্রাম সদর -২,Terre Des Hommes Foundation,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01734022316
Rangpur,Kurigram,Kurigram Sadar,,division=6&district=55&upazila=417,সেবা ক্লিনিক - কুড়িগ্রাম সদর,Sheba Clinic,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01714052116
Rangpur,Kurigram,Kurigram Sadar,,division=6&district=55&upazila=417,খান ক্লিনিক - কুড়িগ্রাম সদর,Khan Clinic,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01714230285
Rangpur,Kurigram,Kurigram Sadar,,division=6&district=55&upazila=417,ধারলা ক্লিনিক - কুড়িগ্রাম সদর,Dharla clinic,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01718697932
Rangpur,Kurigram,Kurigram Sadar,,division=6&district=55&upazila=417,কুড়িগ্রাম ক্লিনিক - কুড়িগ্রাম সদর,Kurigram clinic,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01712687317
Rangpur,Kurigram,Kurigram Sadar,,division=6&district=55&upazila=417,মাদার অ্যান্ড চাইল্ড ওয়েলফেয়ার (এমসিডবলিওসি),Mother & Child Welfare Centre (MCWC) Kurigram Sadar,মা ও শিশু কল্যান কেন্দ্র,HEALTH_FACILITY,,
Rangpur,Kurigram,Kurigram Sadar,Urban Ward No-03,division=6&district=55&upazila=417,জেলা ফ্যামিলি প্লানিং অফিস কুড়িগ্রাম,District Family Planing Office Kurigram,জেলা পর্যায়ের অফিস,HEALTH_FACILITY,dfpokuri@gmail.com,
Rangpur,Kurigram,Kurigram Sadar,Holokhana,division=6&district=55&upazila=417,ইউনিয়ন হেলথ অ্যান্ড ফ্যামিলি ওয়েলফেয়ার সেন্টার (এউএইচএন্ডএফডবলিওসি) হলোখানা কুড়িগ্রাম সদর কুড়িগ্রাম,UH&FWC Holokhana,ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,HEALTH_FACILITY,,01728052261
Rangpur,Kurigram,Kurigram Sadar,Urban Ward No-01,division=6&district=55&upazila=417,উপজেলা ফ্যামিলি প্লানিং অফিস সদর কুড়িগ্রাম,Upazila Family Planning Office Sadar Kurigram,উপজেলা পর্যায়ের অফিস,HEALTH_FACILITY,,01714004225
Rangpur,Kurigram,Bhurungamari,Andhari Jhar,division=6&district=55&upazila=413,আন্ধারিঝড় ইউনিয়ন সেন্টার,Andharirjhar Union Centre,ইউনিয়ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,,
Rangpur,Kurigram,Bhurungamari,Bhurungamari,division=6&district=55&upazila=413,বাগভান্দের(ঝুকিয়া)সিসি,Bagbhander(jhukia) Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,,
Rangpur,Kurigram,Bhurungamari,Joymanirhat,division=6&district=55&upazila=413,বড় খাতামারি সিসি-ভুরুঙ্গামারি,Bara Khatamari CC,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,,
Rangpur,Kurigram,Bhurungamari,Andhari Jhar,division=6&district=55&upazila=413,বারুইতারি সিসি-ভুরুঙ্গামারি,Baruitary CC,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,,
Rangpur,Kurigram,Bhurungamari,Paiker Chhara,division=6&district=55&upazila=413,বেলাদহ সিসি - ভুরুঙ্গামারি,Beladaha CC,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,,
Rangpur,Kurigram,Bhurungamari,Bhurungamari,division=6&district=55&upazila=413,ভুরুঙ্গামারি উপজেলা স্বাস্থ্য কমপ্লেক্স,Bhurungamari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,HEALTH_FACILITY,,
