"Translation_Key","Value","Description"
"userSetup.securityQuestions.favoriteMovie","What is your favorite movie?","The description for FAVORITE_MOVIE key"
"userSetup.securityQuestions.favoriteSong","What is your favorite song?","The description for FAVORITE_SONG key"
"userSetup.securityQuestions.favoriteTeacher","What is the name of your favorite school teacher?","The description for FAVORITE_TEACHER key"
"constants.fieldAgent","Field Agent","The description for FIELD_AGENT role"
"userSetup.securityQuestions.firstChildName","What is your first child's name?","The description for FIRST_CHILD_NAME key"
"constants.healthDivision","Health Division","The description for HEALTH_DIVISION type"
"userSetup.securityQuestions.hightSchool","What is the name of your high school?","The description for HIGH_SCHOOL key"
"userSetup.type.hospital","Hospital","The description for HOSPITAL type"
"settings.user.label.nameEN","English name",
"constants.localRegistrar","Registrar","The description for LOCAL_REGISTRAR role"
"home.header.localSystemAdmin","Sysadmin","The description for Sysadmin role"
"constants.mayor","Mayor","The description for MAYOR type"
"userSetup.securityQuestions.motherName","What is your mother's name?","The description for MOTHER_NAME key"
"constants.nationalRegistrar","National Registrar","The description for NATIONAL_REGISTRAR role"
"constants.nationalSystemAdmin","System admin (national)","The description for System admin (national)"
"constants.orgDivision","ORG Division","The description for ORG_DIVISION type"
"constants.performanceManagement","Performance Management","The description for Performance Management role"
"constants.performanceOversight","Performance Oversight","The description for Performance Oversight role"
"settings.profile.tile","Profile","Profile header"
"constants.registrationAgent","Registration Clerk","The description for REGISTRATION_AGENT role"
"constants.secretary","Secretary","The description for SECRETARY type"
"settings.security.tile","Security","Security header"
"settings.title","Settings","Title of the settings page"
"constants.stateRegistrar","State Registrar","The description for STATE_REGISTRAR role"
"settings.system.tile","System","System header"
"register.SelectContactPoint.phoneNoError","Not a valid mobile number","Phone no error text"
"validations.bengaliOnlyNameFormat","Must contain only Bengali characters","The error message that appears when a non bengali character is used in a Bengali name"
"validations.blockAlphaNumericDot","Can contain only block character, number and dot (e.g. C91.5)","The error message that appears when an invalid value is used"
"validations.dateFormat","Must be a valid date","The error message appears when the given date is not valid"
"validations.dobEarlierThanDom","Must be earlier than marriage date","The error message appears when the given birth date is later than the given marriage date"
"validations.domLaterThanDob","Must be later than birth date","The error message appears when the given marriage date is earlier than the given birth date"
"validations.emailAddressFormat","Must be a valid email address","The error message appears when the email addresses are not valid"
"validations.englishOnlyNameFormat","Must contain only English characters","The error message that appears when a non English character is used in an English name"
"validations.greaterThanZero","Must be a greater than zero","The error message appears when input is less than or equal to 0"
"validations.isValidBirthDate","Must be a valid birth date","The error message appears when the given birth date is not valid"
"validations.isValidDateOfDeath","Must be a valid date of death","The error message appears when the given date of death is not valid"
"validations.maxLength","Must not be more than {max} characters","The error message that appears on fields with a maximum length"
"validations.minLength","Must be {min} characters or more","The error message that appears on fields with a minimum length"
"validations.numberRequired","Must be a number","The error message that appears on fields where the value must be a number"
"validations.phoneNumberFormat","Must be a valid {num} digit number that starts with {start}","The error message that appears on phone numbers where the first two characters must be a 01 and length must be 11"
"validations.range","Must be within {min} and {max}","The error message that appears when an out of range value is used"
"validations.required","Required for registration","The error message that appears on required fields"
"validations.requiredSymbol","","A blank error message. Used for highlighting a required field without showing an error"
"validations.validBirthRegistrationNumber","The Birth Registration Number can only contain block character and number where the length must be within {min} and {max}","The error message that appears when an invalid value is used as brn"
"validations.validDeathRegistrationNumber","The Death Registration Number can only be alpha numeric and must be {validLength} characters long","The error message that appears when an invalid value is used as drn"
"validations.validNationalId","The National ID can only be numeric and must be {validLength} digits long","The error message that appears when an invalid value is used as nid"
"validations.validPassportNumber","The Passport Number can only be alpha numeric and must be {validLength} characters long","The error message that appears when an invalid value is used as passport number"
"validations.validDrivingLicenseNumber","The Driving License Number can only be alpha numeric and must be {validLength} characters long","The error message that appeards when an invalid value is used as driving license number"
"print.certificate.addAnotherSignature","Add another",
"print.certificate.section.title","Certificate Collection","The title of print certificate action"
"certificate.confirmCorrect","Please confirm that the applicant has reviewed that the information on the certificate is correct and that you are ready to print.","Edit"
"certificate.isCertificateCorrect","Is the {event} certificate correct?","Question asking the user if the information on the  certificate is correct"
"certificate.receipt.header","Receipt for {event} Certificate of","Receipt header for payment on certificate"
"certificate.receipt.subheader","{event} Registration after {DOBDiff} of {DOE}","Subheader for receipt on payment on certificate"
"print.certificate.collectPayment","Please collect the payment, print the receipt and hand it over to the payee.","The label for collect payment paragraph"
"certificate.parent.details.label.dateOfBirth","Date of Birth","Parent Date of Birth"
"certificate.parent.details.label.familyName","Family Name","Parent family name"
"certificate.parent.details.label.familyNameInEng","Family Name(in english)","Parent family name"
"print.certificate.collector.father","Father","The label for select value when father is the collector of certificate"
"certificate.parent.details.label.firstName","First Name(s)","Parent first names"
"certificate.parent.details.label.firstNameInEng","First Name(s)(in english)","Parent first names"
"print.certificate.collector.idCheckDialog.actions.cancel","Cancel","The for the dialog when details of the collector not verified"
"print.certificate.collector.idCheckDialog.actions.send","SEND","The for the dialog when details of the collector not verified"
"print.certificate.collector.idCheckDialog.description","Please be aware that if you proceed, you will be responsible for issuing a certificate without the necessary proof of ID from the collector","The description for the dialog when details of the collector not verified"
"print.certificate.collector.idCheckDialog.title","Continue without proof of ID?","The title for the dialog when details of the collector not verified"
"print.certificate.collector.idCheck.title","Check proof of ID. Does it match the following details?","The title for id check component"
"print.certificate.collector.idCheck.actions.verify","Yes","The label for id check component action when verify details"
"print.certificate.collector.idCheck.actions.withoutVerify","No","The label for id check component action when does not verify details"
"print.certificate.collector.informant","Informant","The label for select value when informant is the collector of certificate"
"print.certificate.userReviewed","The informant has reviewed and confirmed that the information on the certificate is correct.",
"print.certificate.manualPaymentMethod","Manual","The label for select option for manual payment method"
"print.certificate.collector.mother","Mother","The label for select value when mother is the collector of certificate"
"certificate.parent.details.label.nationality","Nationality","Parent Nationality"
"print.certificate.noLabel"," ",
"certificate.parent.details.label.number","Number","Parent number"
"print.certificate.collector.other","Other","The label for select value when the collector of certificate is other person"
"print.certificate.payment","Payment is required","The title for payment section"
"print.certificate.paymentInstruction","Please collect the payment, print the receipt and hand it over to the payee.","Description for payment section"
"print.certificate.paymentAmount","৳ {paymentAmount}","The label for payment amount subsection"
"print.certificate.paymentMethod","Payment method","The label for payment method select"
"print.certificate.signature.person1","UP Secretary Shakib al hasan",
"print.certificate.signature.person2","Local Registrar Mohammad Ashraful",
"print.certificate.certificatePreview","Certificate Preview","The title for certificate preview form"
"print.certificate.form.title","Print certificate","The title of review button in list expansion actions"
"print.certificate.form.name","Print","The title of review button in list expansion actions"
"print.certificate.printReceipt","Print receipt","The label for print receipt button"
"certificate.receipt.issuedAt","Issued at:","Receipt on payment on certificate issued at label"
"certificate.receipt.issuer","By: {role}, {name}
 Date of payment: {dateOfPayment}","Issuer information for receipt of certificate payment label"
"certificate.receipt.amount","Amount paid:

","Amount paid for certificate label"
"certificate.receipt.service","Service: ","Service received for receipt label"
"print.certificate.selectSignature","Select e-signatures","The label for choose signature select"
"print.certificate.serviceMonth","Service: <strong>Birth registration after {service, plural, =0 {0 month} one {1 month} other{{service} months}} of D.o.B.</strong><br/>Amount Due:","The label for service paragraph"
"certificate.receipt.amountDue","Amount Due:","The label for due amount"
"certificate.parent.details.label.typeOfID","Type of ID","Parent Type of ID"
"print.certificate.collector.whoToCollect","Who is collecting the certificate?","The label for collector of certificate select"
"print.certificate.button.confirmPrint","Confirm and Print","The text for Confirm & print button"
"print.certificate.review.title","Are all the details on the {event} certificate correct?","Certificate review title"
"print.certificate.review.description","Please confirm that the applicant has reviewed that the information on the certificate is correct and that it is ready to print.","Certificate review description"
"print.certificate.review.modal.title","Print Certificate?","Print certificate modal title text"
"print.certificate.review.modal.body","A PDF of the certificate will open in a new tab - please print from there","Print certificate modal body text"
"print.certificate.toast.message","Certificate is ready to print","Floating Toast message upon certificate ready to print"
"print.certificate.birthService","Service: <strong>Birth registration after {service} of D.o.B.</strong><br/>Amount Due:","Amount due on certificate for birth label"
"print.certificate.deathService","Service: <strong>Death registration after {service} of D.o.D.</strong><br/>Amount Due:","Amount due on certificate for death label"
"certificate.receipt.birthService.after","Birth registration after 5 years of date of birth","Amount due on certificate for birth label"
"certificate.receipt.deathService.after","Death registration after 5 years of date of death","Amount due on certificate for death label"
"certificate.receipt.birthService.between","Birth registration between 45 days and 5 years of date of birth","Amount due on certificate for birth label"
"certificate.receipt.deathService.between","Death registration between 45 days and 5 years of date of death","Amount due on certificate for death label"
"register.confirmationScreen.buttons.back","Back to homescreen","The button to return to the homescreen"
"register.confirmationScreen.boxHeaderDesc","{event, select, declaration {{eventType, select, birth {birth} death {death}} application has been sent for review.} registration {{eventType, select, birth {birth} death {death}} has been registered.} duplication {{eventType, select, birth {birth} death {death}} has been registered.} rejection {{eventType, select, birth {birth} death {death}} application has been rejected.} certificate {{eventType, select, birth {birth} death {death}} certificate has been completed.} offline {{eventType, select, birth {birth} death {death}} application will be sent when you reconnect.} }","The first box header description that appear on the confirmation screen "
"register.confirmationScreen.trackingSectionTitle","{event, select, declaration {Tracking number:} registration {{eventType, select, birth {Birth} death {Death}} Registration Number:} duplication {{eventType, select, birth {Birth} death {Death}} Registration Number:} rejection {Tracking number:} certificate {} offline {Tracking number:}} ","The tracking section title that appear on the confirmation screen"
"register.confirmationScreen.trackingSectionDesc","{event, select, certificate {Certificates have been collected from your jurisdiction.} declaration {The informant will receive this number via SMS, but make sure they write it down and keep it safe. They should use the number as a reference if enquiring about their registration.} registration {The informant will receive this number via SMS with instructions on how and where to collect the certificate.} duplication{The informant will receive this number via SMS with instructions on how and where to collect the certificate.} rejection{The application agent will be informed about the reasons for rejection and instructed to follow up.} offline {The informant will receive the tracking ID number via SMS when the application has been sent for review.}} ","The tracking section description that appear on the confirmation screen"
"register.confirmationScreen.buttons.back.duplicate","Back to duplicate","The button to return to the duplicates"
"register.confirmationScreen.buttons.newDeclaration","New application","The button to start a new application now that they are finished with this one"
"duplicates.modal.reject","Are you sure you want to reject this application for being a duplicate ?","Description of the reject modal"
"duplicates.duplicateFoundTitle","Possible duplicates found","The title of the text box in the duplicates page"
"duplicates.duplicateFoundDescription","The following application has been flagged as a possible duplicate of an existing registered record.","The description at the top of the duplicates page"
"duplicates.possibleDuplicateFound","Possible duplicate","The duplicates page title"
"duplicates.details.notDuplicate","Not a duplicate?","A Question which is a link: Not a duplicate?"
"duplicates.notDuplicate.modal.confirmationText","Are you sure this is not a duplicate application?","Not a duplicate modal confirmation text"
"fieldAgentHome.inProgressCount","In progress ({total})","The title of in progress tab"
"fieldAgentHome.sentForReviewCount","Sent for review ({total})","The title of sent for review tab"
"fieldAgentHome.requireUpdatesCount","Require updates ({total})","The title of require updates tab"
"fieldAgentHome.zeroUpdatesText","No applications require updates","The text when no rejected applications"
"fieldAgentHome.allUpdatesText","Great job! You have updated all applications","The text when all rejected applications updated"
"fieldAgentHome.requireUpdatesCountLoading","Checking your applications","The text when all rejected applications are loading"
"home.header.typeBrnDrn","BRN/DRN","Search menu brn drn type"
"home.header.typePhone","Phone No.","Search menu phone no type"
"home.header.placeHolderTrackingId","Enter Tracking ID","Search menu tracking id place holder"
"home.header.placeHolderBrnDrn","Enter BRN/DRN","Search menu brn drn place holder"
"home.header.placeHolderPhone","Enter Phone No.","Search menu phone no place holder"
"home.header.systemTitle","System","System title"
"home.header.settingsTitle","Settings","settings title"
"home.header.helpTitle","Help","Help title"
"imageUploadOption.upload.error","File format not supported. Please attach a png, jpg or pdf (max 5mb)","Show error messages while uploading"
"imageUploadOption.upload.documentType","Please select the type of document first","Show error message if the document type is not selected"
"imageUploadOption.upload.overSized","File is too large. Please attach file less than 5mb","Error message for Attachment size greater than 5MD."
"notification.declarationsSynced","As you have connectivity, we have synced {syncCount} new birth applications.","The message that appears in notification when background sync takes place"
"notification.draftsSaved","Your draft has been saved","The message that appears in notification when save drafts button is clicked"
"notification.newContentAvailable","We've made some updates, click here to refresh.","The message that appears in notification when new content available."
"notification.outboxText","Outbox({num})","Application outbox text"
"notification.processingText","{num} application processing...","Application processing text"
"register.registrationHome.outbox.statusRegistering","Registering...","Label for application status Registering"
"register.registrationHome.outbox.statusRejecting","Rejecting...","Label for application status Rejecting"
"register.registrationHome.outbox.statusSubmitting","Submitting...","Label for application status submitting"
"register.registrationHome.outbox.statusWaitingToRegister","Waiting to register","Label for application status waiting for register"
"register.registrationHome.outbox.statusWaitingToReject","Waiting to reject","Label for application status waiting for reject"
"register.registrationHome.outbox.statusWaitingToSubmit","Waiting to submit","Label for application status waiting for reject"
"notification.sorryError","Sorry! Something went wrong","The message that appears in notification when a new user creation fails"
"notification.userFormSuccess","New user created","The message that appears in notification when a new user is created"
"register.registrationHome.outbox.waitingToRetry","Waiting to retry","Label for application status waiting for connection"
"unlockApp.incorrectPin","Incorrect pin. Please try again","The message displayed when a user enters an incorrect PIN"
"unlockApp.lastTry","Last Try","The message displayed before the 3rd attempt of an incorrect PIN"
"unlockApp.locked","your account has been locked. Please try again in 1 minute.","The title displayed while creating a PIN"
"createPIN.createTitle","Create a PIN","The title displayed while creating a PIN"
"createPIN.createDescription","Choose a PIN that doesn't have 4 repeating digits or sequential numbers.","The description displayed while creating a PIN"
"createPIN.pinSameDigitsError","PIN cannot have same 4 digits","The error displayed if PIN contains 4 same digits."
"createPIN.pinSeqDigitsError","PIN cannot contain sequential digits","The error displayed if PIN contains sequential digits."
"createPIN.pinMatchError","PIN code did not match. Please try again.","The error displayed if PINs don't match"
"createPIN.reEnterTitle","Re-enter your new PIN","The title displayed while creating a PIN"
"createPIN.reEnterDescription","Let's make sure we collected your PIN correctly.",""
"register.form.newVitalEventRegistration","{event, select, birth {Birth} death {Death} marriage {Marriage} divorce {Divorce} adoption {Adoption}} application","The message that appears for new vital event registration"
"register.form.previewEventRegistration","{event, select, birth {Birth} death {Death} marriage {Marriage} divorce {Divorce} adoption {Adoption}} Application Preview","The message that appears for new birth registrations"
"register.form.reviewEventRegistration","{event, select, birth {Birth} death {Death} marriage {Marriage} divorce {Divorce} adoption {Adoption}} Registration Review","The message that appears for new birth registrations"
"register.form.modal.submitDescription","By clicking “Submit” you confirm that the informant has read and reviewed the information and understands that this information will be shared with Civil Registration authorities.","Submit description text on submit modal"
"register.registerForm.queryError","The page cannot be loaded at this time due to low connectivity or a network error. Please click refresh to try again, or try again later.","The error message shown when a search query fails"
"register.selectVitalEvent.backToReviewButton","Back to review",
"register.registrationHome.table.label","Results","Results label at the top of the data table component"
"register.registrationHome.inProgress","In progress","The title of In progress"
"tab.inProgress.selector.field.agents","Field agents","The title of In progress field agents"
"tab.inProgress.selector.own.drafts","Yours","The title of In progress own drafts"
"register.registrationHome.table.label.action","Action","Label for action in work queue list item"
"register.registrationHome.table.label.applicationDate","Application sent","Label for application date in work queue list item"
"register.registrationHome.table.label.registeredDate","Application registered","Label for date of registration in work queue list item"
"register.registrationHome.readyForReview","Ready for review","The title of ready for review"
"register.registrationHome.readyToPrint","Ready to print","The title of ready to print tab"
"register.registrationHome.registrationNumber","Registration no.","The heading of registration no. column"
"register.registrationHome.sentForApprovals","Sent for approval","The title of sent for approvals tab"
"register.registrationHome.sentForUpdates","Sent for updates","The title of sent for updates tab"
"register.registrationHome.validated.registrar.tooltip","Application has been validated by a registration agent","Text to display for validated application as tooltip"
"register.registrationHome.validated.registrationAgent.tooltip","Application has been validated and waiting for approval","Text to display for validated application as tooltip"
"review.rejection.form.title","Reasons for rejection","Rejection form title"
"review.rejection.form.submitButton","Submit rejection","Rejection form submit button"
"review.rejection.form","Rejection form","Rejection form name"
"review.rejection.form.reasons","Reason(s) for rejection:","Rejection reasons checkbox label"
"review.rejection.form.reasons.duplicate","Duplicate application","Label for rejection option duplicate"
"review.rejection.form.reasons.misspelling","Misspelling","Label for rejection option misspelling"
"review.rejection.form.reasons.missingSupportingDoc","Missing supporting documents","Label for rejection option missing supporting doc"
"review.rejection.form.reasons.other","Other","Label for rejection option other"
"review.rejection.form.commentLabel","Comments or instructions for health worker to rectify application","Label for rejection comment text area"
"review.rejection.form.commentInstruction","Please provide specific instructions of what needs to be updated by the health worker to correctly update the application","Label for rejection comment instruction"
"validate.complete.application.action.title","Ready to approve?",
"validate.complete.application.action.description","By approving you confirm that the applicatiohn is ready to register",
"validate.application.action.modal.title","Send for approval?",
"validate.application.action.modal.description","This application will be sent to the registrar from them to register",
"create.validate.application.action.decription","{completeApplication, select, true {By sending for approval you confirm that the information has been reviewed by the applicant and that it is ready to register.} false {Mandatory information is missing. Please add this information so that you can send to register.}}",
"review.inputs.additionalComments","Any additional comments?","Label for input Additional comments"
"review.edit.modal.backToPreview","Back to Preview","Preview button on edit modal"
"review.edit.modal.confirmationText","Are you sure you want to edit the application?","Edit modal confirmation text"
"review.documents.editDocuments","Add attachment","Edit documents text"
"review.formData.header","{isDraft, select, true {Check responses with the applicant before sending for review} false {Review the answers with the supporting documents}}","Label for form data header text"
"review.header.subject.subjectWitName","{eventType, select, birth {Birth} death {Death}} Application for {name}","Header subject that shows which application type to review with applicant name"
"review.header.subject.subjectWithoutName","{eventType, select, birth {Birth} death {Death}} Application","Header subject that shows which application type to review"
"register.form.section.preview.name","Preview","Form section name for Preview"
"register.form.section.preview.title","Preview","Form section title for Preview"
"review.actions.description","By registering this birth, a birth certificate will be generated with your signature for issuance.",
"review.actions.description.registerConfirmComplete","By clicking register, you confirm that the information is correct and has been reviewed by the applicant. The applicant understands that it will be used to register the birth and for planning purposes.

By registering this birth, a birth certificate will be generated with your signature for issuance.",
"review.actions.description.registerConfirmInComplete","Mandatory information is missing. Please add this information so that you can complete the registration process.",
"review.actions.title.registerActionTitle","Register or reject?",
"review.modal.title.registerConfirmation","Register this {event}?","Title for register confirmation modal"
"review.actions.description.confirmComplete","By sending this application for review, you confirm that the information is correct and has been reviewed by the applicant. The applicant understands that it will be used to register the birth and for planning purposes.","Description for review action component when complete application"
"review.actions.description.confirmInComplete","By sending this incomplete application, there will be a digital record made.

Tell the applicant that they will receive an SMS with a tracking ID. They will need this to complete the application at a registration office within 30 days. The applicant will need to provide all mandatory information before the birth can be registered","Description for review action component when incomplete application"
"review.actions.title.applicationStatus","Application is {completeApplication, select, true {complete} false {incomplete}}","Title for review action component"
"review.form.section.review.name","Review","Form section name for Review"
"review.form.section.review.title","Review","Form section title for Review"
"review.modal.desc.submitConfirmation","{completeApplication, select, true {This application will be sent to the registrar for them to review.} false {This application will be sent to the register who is now required to complete the application.}}","Submit description text on modal"
"review.modal.title.submitConfirmation","{completeApplication, select, true {Send application for review?} false {Send incomplete application?}}","Submit title text on modal"
"register.form.modal.desc.validateConfirmation","This application will be sent to the registrar from them to approve.","Description for validate confirmation modal"
"register.form.modal.title.validateConfirmation","Send for approval?","Title for validate confirmation modal"
"review.button.approve","Send for approval","Label for Send For Approval button"
"review.documents.zeroDocumentsText","No supporting documents for {section, select, child {child} mother {mother} father {father} deceased {deceased} informant {informant}}","Zero documents text"
"review.header.title.govtName.bgd","Government of the peoples republic of Bangladesh","Header title that shows bgd govt name"
"search.results","Results","Results label at the top of the data table component"
"search.noResults","No result to display","Text to display if the search return no results for the current filters"
"search.labels.results.eventRegistrationNumber","{event, select, birth {B} death {D} marriage {M} divorce {Divorce } adoption {A}}RN","Label for event registration number in search result list item"
"search.informantContact","Informant contact number","The rejected reason"
"search.searchingFor","Searching for “{param}”","The searching for text"
"search.searchResultFor","{total, plural, =0 {No results for “{param}”} other {Search results for “{param}”}}","The search result text"
"search.totalResultText","{total, plural, =0 {} one {# record found} other {# records found}} ","The total result text"
"register.SelectContactPoint.heading","Who is the main point of contact for this application?","The section heading on the page"
"register.SelectContactPoint.birthRelationshipLabel","RelationShip to child","Relationship Label for birth"
"register.SelectContactPoint.error","Please select a main point of contact","Error text"
"register.selectInformant.birthInformantTitle","Who is applying for birth registration?","The title that appears when asking for the birth informant"
"register.selectInformant.deathInformantTitle","What relationship does the applicant have to the deceased?","The title that appears when asking for the death informant"
"register.selectInformant.birthErrorMessage","Please select who is present and applying","Error Message to show when no informant is selected for birth"
"register.selectInformant.deathErrorMessage","Please select the relationship to the deceased and any relevant contact details.","Error Message to show when no informant is selected for death"
"register.selectVitalEvent.registerNewEventTitle","New application","The title that appears on the select vital event page"
"register.primaryApplicant.registerNewEventHeading","Who is the primary applicant for this application?","The section heading on the page"
"register.primaryApplicant.description","This person is responsible for providing accurate information in this application. ","The section heading on the page"
"register.primaryApplicant.errorMessage","Please select who is the primary applicant","Error Message to show when no event is being selected"
"register.selectVitalEvent.registerNewEventHeading","What type of event do you want to declare?","The section heading on the page"
"register.selectVitalEvent.errorMessage","Please select the type of event","Error Message to show when no event is being selected"
"login.session.expired","Your session has expired. Please login again.","SessionExpire modal confirmation text"
"register.sysAdminHome.overview","Overview","The title of overview tab"
"register.sysAdminHome.offices","Offices","The title of offices tab"
"register.sysAdminHome.users","Users","The title of users tab"
"register.sysAdminHome.devices","Devices","The title of devices tab"
"register.sysAdminHome.network","Network","The title of network tab"
"register.sysAdminHome.config","Config","The title of config tab"
"password.label.confirm","Confirm password","Confirm password label"
"password.cases","Contain upper and lower cases","Password validation"
"password.number","At least one number","Password validation"
"newPassword.header","Choose a new password","New Password header"
"newPassword.instruction","We recommend you create a unique password - one that you don’t use for another website or app. Note. You can’t reuse your old password once you change it.","New Password instruction"
"label.assignedOffice","Assigned office","Assigned office"
"settings.user.label.nameBN","Bengali name",
"password.match","Passwords match","Password validation"
"password.minLength","{min} characters minimum","Password validation"
"password.mismatch","Passwords do not match","Password validation"
"password.label.new","New password","New password label"
"error.required.password","New password is not valid","New password required"
"userSetup.complete.title","Account setup complete","Title for the setup complete page"
"userSetup.complete.instruction","Now login to your account with your user name and newly created password","Instruction for the setup complete"
"userSetup.landing.instruction","You just a few steps away from completing your account set up.","Instruction for the account setup langing page"
"userSetup.review.title","Your details","User setup review page title"
"userSetup.review.header","Confirm your details","User setup review page subtitle"
"userSetupReview.instruction","Check the details below to confirm your account details are correct. and make annecessary changes to confirm your account details are correct.","User setup review page instruction"
"userSetup.landing.title","Welcome to OpenCRVS","Title for the landing page"
"password.validation.msg","Password must have:","Password validation message"
"user.setup.waiting","Setting up your account","The message that displays when the user is waiting for the account to be created"
